90,18
97,22
117,16
90,18
118,24
77,21
111,17
118,21
116,21
117,18
48,14
107,16
118,31
119,24
90,17
120,20
67,15
119,24
116,24
118,23
116,21
110,21
120,24
116,19
116,20
72,15
114,17
118,27
101,19
119,18
120,29
118,20
119,27
119,25
119,24
76,17
48,13
74,16
68,15
118,19
48,15
120,24
118,16
118,21
120,31
108,18
116,19
72,16
113,24
118,24
108,18
113,19
114,22
112,18
117,28
117,20
105,20
112,18
118,21
119,29
118,20
112,23
118,21
116,19
68,15
78,17
119,19
117,26
90,18
120,24
117,22
111,19
109,17
120,23
72,12
79,13
117,24
118,23
117,19
118,20
120,24
118,28
119,25
90,15
119,31
118,29
118,22
74,16
120,27
118,25
114,19
118,23
118,25
90,18
117,22
120,22
118,20
117,17
120,23
90,17
